name,percentage_positive_review,review_qualification,all_reviews
CRIMSON METAL REDUX,48,Mixed,"Mixed,(90),- 48% of the 90 user reviews for this game are positive."
Romopolis,68,Mixed,"Mixed,(45),- 68% of the 45 user reviews for this game are positive."
Across the Rhine,61,Mixed,"Mixed,(18),- 61% of the 18 user reviews for this game are positive."
CUTE ANIME GIRLS,-1,,
Infernales: Circles of Hell,-1,,"5 user reviews,- Need more user reviews to generate a score"
Wheels of Aurelia,57,Mixed,"Mixed,(75),- 57% of the 75 user reviews for this game are positive."
Hentai Survive Island,63,Mixed,"Mixed,(38),- 63% of the 38 user reviews for this game are positive."
Martial Arts: Capoeira,42,Mixed,"Mixed,(19),- 42% of the 19 user reviews for this game are positive."
Kaiju-A-GoGo,63,Mixed,"Mixed,(192),- 63% of the 192 user reviews for this game are positive."
Tank: M1A1 Abrams Battle Simulation,-1,,"6 user reviews,- Need more user reviews to generate a score"
Sakura Day Mahjong,-1,,"2 user reviews,- Need more user reviews to generate a score"
Fort Defense,61,Mixed,"Mixed,(57),- 61% of the 57 user reviews for this game are positive."
QUAKE II Mission Pack: Ground Zero,57,Mixed,"Mixed,(75),- 57% of the 75 user reviews for this game are positive."
Soulless: Ray Of Hope,68,Mixed,"Mixed,(125),- 68% of the 125 user reviews for this game are positive."
Stunt Toys,46,Mixed,"Mixed,(15),- 46% of the 15 user reviews for this game are positive."
XMagicTyping,-1,,"4 user reviews,- Need more user reviews to generate a score"
Last Anime Boy 2: Hentai Zombie Hell,61,Mixed,"Mixed,(18),- 61% of the 18 user reviews for this game are positive."
Ghost Mountain Roller Coaster,-1,,"5 user reviews,- Need more user reviews to generate a score"
MineStickman,-1,,"5 user reviews,- Need more user reviews to generate a score"
Shadow of the Black Dragon,-1,,"2 user reviews,- Need more user reviews to generate a score"
Pembrey,63,Mixed,"Mixed,(19),- 63% of the 19 user reviews for this game are positive."
Major Stryker,-1,,"8 user reviews,- Need more user reviews to generate a score"
The Walking Zombie: Dead City,69,Mixed,"Mixed,(203),- 69% of the 203 user reviews for this game are positive."
Magic Technology,60,Mixed,"Mixed,(15),- 60% of the 15 user reviews for this game are positive."
Fantasy World,69,Mixed,"Mixed,(13),- 69% of the 13 user reviews for this game are positive."
Don't Let Go!,68,Mixed,"Mixed,(45),- 68% of the 45 user reviews for this game are positive."
Star Chef: Cooking & Restaurant Game,46,Mixed,"Mixed,(32),- 46% of the 32 user reviews for this game are positive."
Adele: Following the Signs,-1,,"4 user reviews,- Need more user reviews to generate a score"
Bus Driver Simulator 2019,54,Mixed,"Mixed,(606),- 54% of the 606 user reviews for this game are positive."
Defend the Highlands: World Tour,-1,,"6 user reviews,- Need more user reviews to generate a score"
Fabulous Food Truck,-1,,"5 user reviews,- Need more user reviews to generate a score"
Tales from Candlekeep Complete Edition,-1,,
Swords and Sandals 5 Redux: Maximus Edition,68,Mixed,"Mixed,(51),- 68% of the 51 user reviews for this game are positive."
Surprising My Neighbors,-1,,"9 user reviews,- Need more user reviews to generate a score"
25 Cadre of Death,60,Mixed,"Mixed,(15),- 60% of the 15 user reviews for this game are positive."
Time of Fury,52,Mixed,"Mixed,(17),- 52% of the 17 user reviews for this game are positive."
Casino Slot Machines,-1,,"7 user reviews,- Need more user reviews to generate a score"
Infinite World: Randomize everything,46,Mixed,"Mixed,(39),- 46% of the 39 user reviews for this game are positive."
Magic Tavern,-1,,"2 user reviews,- Need more user reviews to generate a score"
DOOMED,69,Mixed,"Mixed,(46),- 69% of the 46 user reviews for this game are positive."
Elisa the Innkeeper Collection,-1,,
The Bluecoats: North vs South,43,Mixed,"Mixed,(149),- 43% of the 149 user reviews for this game are positive."
Dead Bits,59,Mixed,"Mixed,(3,551),- 59% of the 3,551 user reviews for this game are positive."
World of One,62,Mixed,"Mixed,(48),- 62% of the 48 user reviews for this game are positive."
Aim Trainer Pro,50,Mixed,"Mixed,(78),- 50% of the 78 user reviews for this game are positive."
Evertree Inn,68,Mixed,"Mixed,(22),- 68% of the 22 user reviews for this game are positive."
Panic Room 2: Hide and Seek,40,Mixed,"Mixed,(52),- 40% of the 52 user reviews for this game are positive."
STELLATUM,66,Mixed,"Mixed,(109),- 66% of the 109 user reviews for this game are positive."
HEXMAPMAKER,-1,,"4 user reviews,- Need more user reviews to generate a score"
Survivor Squad: Gauntlets,67,Mixed,"Mixed,(70),- 67% of the 70 user reviews for this game are positive."
Felis,60,Mixed,"Mixed,(20),- 60% of the 20 user reviews for this game are positive."
hack_me,69,Mixed,"Mixed,(1,440),- 69% of the 1,440 user reviews for this game are positive."
BloodRayne Collection,-1,,
The Search,68,Mixed,"Mixed,(57),- 68% of the 57 user reviews for this game are positive."
MadOut Open City,40,Mixed,"Mixed,(240),- 40% of the 240 user reviews for this game are positive."
The Shrouded Isle Soundtrack Edition,-1,,
Deadly Sin,50,Mixed,"Mixed,(32),- 50% of the 32 user reviews for this game are positive."
Ghost Encounters: Deadwood - Collector's Edition,46,Mixed,"Mixed,(98),- 46% of the 98 user reviews for this game are positive."
Elisa: Seduce the Innkeeper,69,Mixed,"Mixed,(136),- 69% of the 136 user reviews for this game are positive."
A Dump in the Dark,62,Mixed,"Mixed,(161),- 62% of the 161 user reviews for this game are positive."
Defense Of Greece TD,-1,,"2 user reviews,- Need more user reviews to generate a score"
darkcase : the basement,-1,,"6 user reviews,- Need more user reviews to generate a score"
King Arthur: Fallen Champions,41,Mixed,"Mixed,(24),- 41% of the 24 user reviews for this game are positive."
TESTING POSITIVE BUNDLE,-1,,
Ant Queen,52,Mixed,"Mixed,(139),- 52% of the 139 user reviews for this game are positive."
Two Worlds II HD & Season Pass,-1,,
Fish Tycoon 2: Virtual Aquarium,43,Mixed,"Mixed,(46),- 43% of the 46 user reviews for this game are positive."
Hack the Core,-1,,"4 user reviews,- Need more user reviews to generate a score"
Sinking Island,66,Mixed,"Mixed,(95),- 66% of the 95 user reviews for this game are positive."
WTF,55,Mixed,"Mixed,(87),- 55% of the 87 user reviews for this game are positive."
Crisis in Command Bundle,-1,,
Tiny Hands Adventure,-1,,"3 user reviews,- Need more user reviews to generate a score"
Agents of Mayhem - Total Mayhem Bundle,-1,,
Broken Sword 4 - the Angel of Death,42,Mixed,"Mixed,(140),- 42% of the 140 user reviews for this game are positive."
Disputed Space,63,Mixed,"Mixed,(63),- 63% of the 63 user reviews for this game are positive."
Aya's Journey,46,Mixed,"Mixed,(13),- 46% of the 13 user reviews for this game are positive."
Scary Maze,-1,,"8 user reviews,- Need more user reviews to generate a score"
Speedball Arena,-1,,"3 user reviews,- Need more user reviews to generate a score"
Defense of Egypt: Cleopatra Mission,66,Mixed,"Mixed,(12),- 66% of the 12 user reviews for this game are positive."
Data Hacker: Reboot,56,Mixed,"Mixed,(89),- 56% of the 89 user reviews for this game are positive."
Slam Bolt Scrappers,60,Mixed,"Mixed,(10),- 60% of the 10 user reviews for this game are positive."
Viking Village,-1,,"2 user reviews,- Need more user reviews to generate a score"
MirrorMoon EP,66,Mixed,"Mixed,(284),- 66% of the 284 user reviews for this game are positive."
DayBreak Online,59,Mixed,"Mixed,(27),- 59% of the 27 user reviews for this game are positive."
Dream Beach - Mallorca | Sphaeres VR Experience | 360° Video | 8K/2D,-1,,"6 user reviews,- Need more user reviews to generate a score"
Miner Wars Arena,-1,,"5 user reviews,- Need more user reviews to generate a score"
Thrill Rollercoasters,-1,,"6 user reviews,- Need more user reviews to generate a score"
Magic Heart,-1,,"6 user reviews,- Need more user reviews to generate a score"
Hare In The Hat,61,Mixed,"Mixed,(180),- 61% of the 180 user reviews for this game are positive."
Mine Royale - Battle Royale,61,Mixed,"Mixed,(13),- 61% of the 13 user reviews for this game are positive."
Shadow of Loot Box,69,Mixed,"Mixed,(39),- 69% of the 39 user reviews for this game are positive."
FPS Training,65,Mixed,"Mixed,(35),- 65% of the 35 user reviews for this game are positive."
KRAKEN,-1,,"9 user reviews,- Need more user reviews to generate a score"
Perpetuum,67,Mixed,"Mixed,(555),- 67% of the 555 user reviews for this game are positive."
Amerzone: The Explorer’s Legacy,67,Mixed,"Mixed,(92),- 67% of the 92 user reviews for this game are positive."
Party Tycoon,50,Mixed,"Mixed,(136),- 50% of the 136 user reviews for this game are positive."
VR Racing,66,Mixed,"Mixed,(12),- 66% of the 12 user reviews for this game are positive."
Showing Tonight: Mindhunters Incident,55,Mixed,"Mixed,(20),- 55% of the 20 user reviews for this game are positive."
Fog of War: The Battle for Cerberus,-1,,"6 user reviews,- Need more user reviews to generate a score"
SCP-087: Recovered document,54,Mixed,"Mixed,(48),- 54% of the 48 user reviews for this game are positive."
Drift King: Survival,44,Mixed,"Mixed,(49),- 44% of the 49 user reviews for this game are positive."
Alpha Prime,60,Mixed,"Mixed,(566),- 60% of the 566 user reviews for this game are positive."
Empires Apart,62,Mixed,"Mixed,(1,099),- 62% of the 1,099 user reviews for this game are positive."
Greed: Black Border,43,Mixed,"Mixed,(156),- 43% of the 156 user reviews for this game are positive."
Twin Sector,40,Mixed,"Mixed,(170),- 40% of the 170 user reviews for this game are positive."
Mahjong Magic Islands,68,Mixed,"Mixed,(45),- 68% of the 45 user reviews for this game are positive."
三国虎将传VR-Sanguo Warriors VR,69,Mixed,"Mixed,(56),- 69% of the 56 user reviews for this game are positive."
Beyond Enemy Lines: Operation Arctic Hawk,63,Mixed,"Mixed,(11),- 63% of the 11 user reviews for this game are positive."
Achtung! Cthulhu Tactics,62,Mixed,"Mixed,(37),- 62% of the 37 user reviews for this game are positive."
Call of Cthulhu®: Dark Corners of the Earth,68,Mixed,"Mixed,(1,709),- 68% of the 1,709 user reviews for this game are positive."
VeeR Pong,-1,,"2 user reviews,- Need more user reviews to generate a score"
3079 -- Block Action RPG,51,Mixed,"Mixed,(294),- 51% of the 294 user reviews for this game are positive."
Wildlife Park 2 - Horses,65,Mixed,"Mixed,(38),- 65% of the 38 user reviews for this game are positive."
Rogue's Tale,69,Mixed,"Mixed,(252),- 69% of the 252 user reviews for this game are positive."
Crucible Falls: Together Forever,58,Mixed,"Mixed,(24),- 58% of the 24 user reviews for this game are positive."
Royal Defense,68,Mixed,"Mixed,(83),- 68% of the 83 user reviews for this game are positive."
Soccer Manager 2019,67,Mixed,"Mixed,(232),- 67% of the 232 user reviews for this game are positive."
NekoCharm,-1,,"7 user reviews,- Need more user reviews to generate a score"
Thirty Flights of Loving,65,Mixed,"Mixed,(1,047),- 65% of the 1,047 user reviews for this game are positive."
Christmas Clicker: Idle Gift Builder,50,Mixed,"Mixed,(18),- 50% of the 18 user reviews for this game are positive."
World War III: Black Gold,54,Mixed,"Mixed,(174),- 54% of the 174 user reviews for this game are positive."
Resilience Wave Survival,62,Mixed,"Mixed,(154),- 62% of the 154 user reviews for this game are positive."
Super Orb Collector,-1,,"2 user reviews,- Need more user reviews to generate a score"
Krampus,41,Mixed,"Mixed,(78),- 41% of the 78 user reviews for this game are positive."
Unearthed: Trail of Ibn Battuta - Episode 1 - Gold Edition,58,Mixed,"Mixed,(447),- 58% of the 447 user reviews for this game are positive."
Lunch Truck Tycoon,61,Mixed,"Mixed,(226),- 61% of the 226 user reviews for this game are positive."
ZombieCarz,50,Mixed,"Mixed,(46),- 50% of the 46 user reviews for this game are positive."
The Lost Heir 3: Demon War,54,Mixed,"Mixed,(24),- 54% of the 24 user reviews for this game are positive."
DEUS VULT | Online VR sword fighting,69,Mixed,"Mixed,(105),- 69% of the 105 user reviews for this game are positive."
Mundus - Impossible Universe,-1,,"2 user reviews,- Need more user reviews to generate a score"
TITANS: Dawn of Tribes,43,Mixed,"Mixed,(205),- 43% of the 205 user reviews for this game are positive."
Mad Digger,66,Mixed,"Mixed,(24),- 66% of the 24 user reviews for this game are positive."
3Gun Nation VR,52,Mixed,"Mixed,(17),- 52% of the 17 user reviews for this game are positive."
Video blogger Story,57,Mixed,"Mixed,(554),- 57% of the 554 user reviews for this game are positive."
Omerta - City of Gangsters - GOLD EDITION,-1,,
Guild Commander,47,Mixed,"Mixed,(71),- 47% of the 71 user reviews for this game are positive."
Dinosis Survival,49,Mixed,"Mixed,(209),- 49% of the 209 user reviews for this game are positive."
Fun VR Farm,-1,,"5 user reviews,- Need more user reviews to generate a score"
Daddy,60,Mixed,"Mixed,(15),- 60% of the 15 user reviews for this game are positive."
Defend Your Castle,61,Mixed,"Mixed,(13),- 61% of the 13 user reviews for this game are positive."
Roads of Rome: New Generation,-1,,"6 user reviews,- Need more user reviews to generate a score"
Poly and the Marble Maze,-1,,"3 user reviews,- Need more user reviews to generate a score"
Complete: Wild Terra + Corrupted + Melting World,-1,,
Andrii's Horror,-1,,
Detective Hank and the Golden Sneeze,-1,,"6 user reviews,- Need more user reviews to generate a score"
Multiwinia + Darwinia,-1,,
Indie-Games.Studio Bundle,-1,,
Shadows in the Darkness,-1,,"8 user reviews,- Need more user reviews to generate a score"
Battle Royale Bootcamp,66,Mixed,"Mixed,(15),- 66% of the 15 user reviews for this game are positive."
Aidsmoji: The Forbidden Fruit,68,Mixed,"Mixed,(22),- 68% of the 22 user reviews for this game are positive."
AZURA,61,Mixed,"Mixed,(71),- 61% of the 71 user reviews for this game are positive."
The Sniper VR,60,Mixed,"Mixed,(33),- 60% of the 33 user reviews for this game are positive."
This is war: FPS classics,-1,,
The Superlatives: Shattered Worlds,-1,,"3 user reviews,- Need more user reviews to generate a score"
Shattered Planet,68,Mixed,"Mixed,(300),- 68% of the 300 user reviews for this game are positive."
Infinite Tanks,60,Mixed,"Mixed,(130),- 60% of the 130 user reviews for this game are positive."
XMagicMouse,-1,,"8 user reviews,- Need more user reviews to generate a score"
Money Bath VR / 札束風呂VR,63,Mixed,"Mixed,(19),- 63% of the 19 user reviews for this game are positive."
Mountain Trap 2: Under the Cloak of Fear,56,Mixed,"Mixed,(25),- 56% of the 25 user reviews for this game are positive."
Mad Farm VR,-1,,"3 user reviews,- Need more user reviews to generate a score"
Line of Sight,57,Mixed,"Mixed,(7,986),- 57% of the 7,986 user reviews for this game are positive."
ZHUST - THE ILLUSION SOUL,60,Mixed,"Mixed,(28),- 60% of the 28 user reviews for this game are positive."
Zombie Flick | 僵尸快打,58,Mixed,"Mixed,(24),- 58% of the 24 user reviews for this game are positive."
Haunted House™,42,Mixed,"Mixed,(19),- 42% of the 19 user reviews for this game are positive."
The Tavern,64,Mixed,"Mixed,(14),- 64% of the 14 user reviews for this game are positive."
MiniGolf,-1,,"5 user reviews,- Need more user reviews to generate a score"
Pizza Connection 2,63,Mixed,"Mixed,(72),- 63% of the 72 user reviews for this game are positive."
Army Men: Toys in Space,65,Mixed,"Mixed,(32),- 65% of the 32 user reviews for this game are positive."
Beat Stickman: Infinity Clones,64,Mixed,"Mixed,(14),- 64% of the 14 user reviews for this game are positive."
